mesh_id,mesh_name,tree_number,level
D009371,Neoplasms by Site,C04.588,2
D000008,Abdominal Neoplasms,C04.588.033,3
D010534,Peritoneal Neoplasms,C04.588.033.513,4
D012186,Retroperitoneal Neoplasms,C04.588.033.731,4
D058288,Sister Mary Joseph's Nodule,C04.588.033.740,4
D000694,Anal Gland Neoplasms,C04.588.083,3
D001859,Bone Neoplasms,C04.588.149,3
D050398,Adamantinoma,C04.588.149.030,4
D005266,Femoral Neoplasms,C04.588.149.276,4
D012888,Skull Neoplasms,C04.588.149.721,4
D007573,Jaw Neoplasms,C04.588.149.721.450,5
D008339,Mandibular Neoplasms,C04.588.149.721.450.583,6
D008441,Maxillary Neoplasms,C04.588.149.721.450.601,6
D010157,Palatal Neoplasms,C04.588.149.721.450.692,6
D009669,Nose Neoplasms,C04.588.149.721.600,5
D009918,Orbital Neoplasms,C04.588.149.721.656,5
D019292,Skull Base Neoplasms,C04.588.149.721.828,5
D013125,Spinal Neoplasms,C04.588.149.828,4
D001943,Breast Neoplasms,C04.588.180,3
D000071960,Breast Carcinoma In Situ,C04.588.180.130,4
D018567,"Breast Neoplasms, Male",C04.588.180.260,4
D018270,"Carcinoma, Ductal, Breast",C04.588.180.390,4
D018275,"Carcinoma, Lobular",C04.588.180.437,4
D061325,Hereditary Breast and Ovarian Cancer Syndrome,C04.588.180.483,4
D058922,Inflammatory Breast Neoplasms,C04.588.180.576,4
D064726,Triple Negative Breast Neoplasms,C04.588.180.788,4
D000069584,Unilateral Breast Neoplasms,C04.588.180.800,4
D004067,Digestive System Neoplasms,C04.588.274,3
D001661,Biliary Tract Neoplasms,C04.588.274.120,4
D001650,Bile Duct Neoplasms,C04.588.274.120.250,5
D003138,Common Bile Duct Neoplasms,C04.588.274.120.250.250,6
D005706,Gallbladder Neoplasms,C04.588.274.120.401,5
D005770,Gastrointestinal Neoplasms,C04.588.274.476,4
D004938,Esophageal Neoplasms,C04.588.274.476.205,5
D000077277,Esophageal Squamous Cell Carcinoma,C04.588.274.476.205.500,6
D007414,Intestinal Neoplasms,C04.588.274.476.411,5
D002430,Cecal Neoplasms,C04.588.274.476.411.184,6
D001063,Appendiceal Neoplasms,C04.588.274.476.411.184.290,7
D015179,Colorectal Neoplasms,C04.588.274.476.411.307,6
D011125,Adenomatous Polyposis Coli,C04.588.274.476.411.307.089,7
D005736,Gardner Syndrome,C04.588.274.476.411.307.089.393,8
D003110,Colonic Neoplasms,C04.588.274.476.411.307.180,7
D000083023,Colitis-Associated Neoplasms,C04.588.274.476.411.307.180.400,8
D012811,Sigmoid Neoplasms,C04.588.274.476.411.307.180.800,8
D003123,"Colorectal Neoplasms, Hereditary Nonpolyposis",C04.588.274.476.411.307.190,7
D012004,Rectal Neoplasms,C04.588.274.476.411.307.790,7
D001005,Anus Neoplasms,C04.588.274.476.411.307.790.040,8
D000694,Anal Gland Neoplasms,C04.588.274.476.411.307.790.040.040,9
D004379,Duodenal Neoplasms,C04.588.274.476.411.445,6
D007078,Ileal Neoplasms,C04.588.274.476.411.501,6
D007580,Jejunal Neoplasms,C04.588.274.476.411.523,6
D013274,Stomach Neoplasms,C04.588.274.476.767,5
D008113,Liver Neoplasms,C04.588.274.623,4
D018248,"Adenoma, Liver Cell",C04.588.274.623.040,5
D006528,"Carcinoma, Hepatocellular",C04.588.274.623.160,5
D008114,"Liver Neoplasms, Experimental",C04.588.274.623.460,5
D010190,Pancreatic Neoplasms,C04.588.274.761,4
D007516,"Adenoma, Islet Cell",C04.588.274.761.249,5
D007340,Insulinoma,C04.588.274.761.249.500,6
D018273,"Carcinoma, Islet Cell",C04.588.274.761.500,5
D015408,Gastrinoma,C04.588.274.761.500.124,6
D005935,Glucagonoma,C04.588.274.761.500.249,6
D013005,Somatostatinoma,C04.588.274.761.500.500,6
D003969,Vipoma,C04.588.274.761.500.750,6
D021441,"Carcinoma, Pancreatic Ductal",C04.588.274.761.750,5
D000077779,Pancreatic Intraductal Neoplasms,C04.588.274.761.875,5
D010534,Peritoneal Neoplasms,C04.588.274.780,4
D004701,Endocrine Gland Neoplasms,C04.588.322,3
D000310,Adrenal Gland Neoplasms,C04.588.322.078,4
D000306,Adrenal Cortex Neoplasms,C04.588.322.078.265,5
D018246,Adrenocortical Adenoma,C04.588.322.078.265.500,6
D018268,Adrenocortical Carcinoma,C04.588.322.078.265.750,6
D009377,Multiple Endocrine Neoplasia,C04.588.322.400,4
D018761,Multiple Endocrine Neoplasia Type 1,C04.588.322.400.500,5
D018813,Multiple Endocrine Neoplasia Type 2a,C04.588.322.400.505,5
D018814,Multiple Endocrine Neoplasia Type 2b,C04.588.322.400.510,5
D010051,Ovarian Neoplasms,C04.588.322.455,4
