mondo_id,mondo_label,mesh_id
MONDO_0000001,disease,D004194
MONDO_0000004,adrenocortical insufficiency,D000309
MONDO_0000022,nocturnal enuresis,D053206
MONDO_0000070,"Mycobacterium tuberculosis, susceptibility",C536092
MONDO_0000082,pelvic organ prolapse,D056887
MONDO_0000087,polymicrogyria,D065706
MONDO_0000088,precocious puberty,D011629
MONDO_0000104,"anemia, hypochromic microcytic with iron overload",C567144
MONDO_0000107,auriculocondylar syndrome,C538270
MONDO_0000110,bifid nose,C535441
MONDO_0000115,Chiari malformation,D001139
MONDO_0000128,giant axonal neuropathy,D056768
MONDO_0000133,immunodeficiency-centromeric instability-facial anomalies syndrome,C537362
MONDO_0000141,mosaic variegated aneuploidy syndrome,C536987
MONDO_0000153,transposition of the great arteries,D014188
MONDO_0000158,developmental dysplasia of the hip,D000082602
MONDO_0000159,bone marrow failure syndrome,C536572
MONDO_0000170,"microphthalmia, isolated, with coloboma",C537463
MONDO_0000171,"muscular dystrophy-dystroglycanopathy, type A",D058494
MONDO_0000179,Neu-Laxova syndrome,C536405
MONDO_0000190,ventricular fibrillation,D014693
MONDO_0000193,cortisone reductase deficiency,C536447
MONDO_0000200,Zimmermann-Laband syndrome,C536725
MONDO_0000211,"striatal degeneration, autosomal dominant",C563783
MONDO_0000212,"hypercalcemia, infantile",C562999
MONDO_0000239,adiaspiromycosis,C000656784
MONDO_0000241,Keshan disease,C536166
MONDO_0000242,tinea barbae,C000656825
MONDO_0000248,dengue shock syndrome,D019595
MONDO_0000253,piedra,D010854
MONDO_0000262,otomycosis,D059249
MONDO_0000265,aspiration pneumonia,D011015
MONDO_0000266,pulmonary aspergilloma,D055732
MONDO_0000290,primary amebic meningoencephalitis,C535275
MONDO_0000306,trichosporonosis,D060586
MONDO_0000309,aniseikonia,D000839
MONDO_0000313,hypophosphatemia,D017674
MONDO_0000327,Buruli ulcer disease,D054312
MONDO_0000328,hyperphosphatemia,D054559
MONDO_0000330,endemic typhus,D014437
MONDO_0000332,sennetsu fever,C537582
MONDO_0000337,exanthema subitum,D005077
MONDO_0000355,Ullrich congenital muscular dystrophy,C537521
MONDO_0000359,spondylocostal dysostosis,C537565
MONDO_0000367,taeniasis,D013622
MONDO_0000387,hypochromic microcytic anemia,C536357
MONDO_0000390,vitelliform macular dystrophy,D057826
MONDO_0000402,small cell carcinoma,D018288
MONDO_0000408,fetal alcohol spectrum disorder,D063647
MONDO_0000409,chorioamnionitis,D002821
MONDO_0000425,X-linked disease,D040181
MONDO_0000428,Y-linked disease,D050174
MONDO_0000430,mature T-cell and NK-cell non-Hodgkin lymphoma,D016411
MONDO_0000437,cerebellar ataxia,D002524
MONDO_0000448,paraganglioma,D010235
MONDO_0000453,short QT syndrome,C580439
MONDO_0000455,cone dystrophy,D000077765
MONDO_0000461,nutritional biotin deficiency,C531633
