diseaseId,diseaseName,meshId,mesh_name,tree_number,level
MONDO_0000430,mature T-cell and NK-cell non-Hodgkin lymphoma,D016411,"Lymphoma, T-Cell, Peripheral",C04.557.386.480.750.825,6.0
MONDO_0000502,villous adenoma,D018253,"Adenoma, Villous",C04.557.470.035.185,5.0
MONDO_0000920,duodenum cancer,D004379,Duodenal Neoplasms,C04.588.274.476.411.445,6.0
MONDO_0001023,prolymphocytic leukemia,D015463,"Leukemia, Prolymphocytic",C04.557.337.428.565,5.0
MONDO_0001256,arteriovenous hemangioma/malformation,D001165,,,
MONDO_0001340,heart cancer,D006338,Heart Neoplasms,C04.588.894.309,4.0
MONDO_0001398,ureter benign neoplasm,D014516,Ureteral Neoplasms,C04.588.945.947.940,5.0
MONDO_0001402,vaginal cancer,D014625,Vaginal Neoplasms,C04.588.945.418.955,5.0
MONDO_0001528,vulva cancer,D014846,Vulvar Neoplasms,C04.588.945.418.968,5.0
MONDO_0001569,acoustic neuroma,D009464,"Neuroma, Acoustic",C04.557.465.625.650.595.610,7.0
MONDO_0001569,acoustic neuroma,D009464,"Neuroma, Acoustic",C04.557.580.600.610.595.610,7.0
MONDO_0001569,acoustic neuroma,D009464,"Neuroma, Acoustic",C04.557.580.625.650.595.610,7.0
MONDO_0001569,acoustic neuroma,D009464,"Neuroma, Acoustic",C04.588.614.300.015,5.0
MONDO_0001569,acoustic neuroma,D009464,"Neuroma, Acoustic",C04.588.614.596.240.015,6.0
MONDO_0001572,leiomyoma,D007889,Leiomyoma,C04.557.450.590.450,5.0
MONDO_0001657,brain cancer,D001932,Brain Neoplasms,C04.588.614.250.195,5.0
MONDO_0002013,lymphangioma,D008202,Lymphangioma,C04.557.375.450,4.0
MONDO_0002060,intraductal papilloma,D018300,"Papilloma, Intraductal",C04.557.470.615.670,5.0
MONDO_0002071,supratentorial cancer,D015173,Supratentorial Neoplasms,C04.588.614.250.195.885,6.0
MONDO_0002093,acanthoma,D049309,Acanthoma,C04.557.470.700.040,5.0
MONDO_0002093,acanthoma,D049309,Acanthoma,C04.588.805.040,4.0
MONDO_0002095,vascular cancer,D009383,"Neoplasms, Vascular Tissue",C04.557.645,3.0
MONDO_0002120,neuroendocrine carcinoma,D018278,"Carcinoma, Neuroendocrine",C04.557.465.625.650.240,6.0
MONDO_0002120,neuroendocrine carcinoma,D018278,"Carcinoma, Neuroendocrine",C04.557.470.200.025.370,6.0
MONDO_0002120,neuroendocrine carcinoma,D018278,"Carcinoma, Neuroendocrine",C04.557.580.625.650.240,6.0
MONDO_0002165,rectal neoplasm,D012004,Rectal Neoplasms,C04.588.274.476.411.307.790,7.0
MONDO_0002171,giant cell tumor,D005870,Giant Cell Tumors,C04.557.450.565.380,5.0
MONDO_0002191,syringoma,D018252,Syringoma,C04.557.470.035.175.800,6.0
MONDO_0002191,syringoma,D018252,Syringoma,C04.557.470.550.175.800,6.0
MONDO_0002236,ocular cancer,D005134,Eye Neoplasms,C04.588.364,3.0
MONDO_0002334,hematopoietic and lymphoid system neoplasm,D019337,Hematologic Neoplasms,C04.588.448,3.0
MONDO_0002360,chondroma,D002812,Chondroma,C04.557.450.565.265,5.0
MONDO_0002363,papilloma,D010212,Papilloma,C04.557.470.700.600,5.0
MONDO_0002367,kidney cancer,D007680,Kidney Neoplasms,C04.588.945.947.535,5.0
MONDO_0002369,cystadenoma,D003537,Cystadenoma,C04.557.470.035.320,5.0
MONDO_0002369,cystadenoma,D003537,Cystadenoma,C04.557.470.590.485,5.0
MONDO_0002373,benign mesothelioma,D008654,Mesothelioma,C04.557.470.035.510,5.0
MONDO_0002373,benign mesothelioma,D008654,Mesothelioma,C04.557.470.660.510,5.0
MONDO_0002380,myoepithelial tumor,D009208,Myoepithelioma,C04.557.435.585,4.0
MONDO_0002407,capillary hemangioma,D018324,"Hemangioma, Capillary",C04.557.645.375.380,5.0
MONDO_0002422,adamantinoma,C562741,,,
MONDO_0002422,adamantinoma,D050398,Adamantinoma,C04.588.149.030,4.0
MONDO_0002450,prostatic adenoma,D011470,,,
MONDO_0002512,papillary adenocarcinoma,D000231,"Adenocarcinoma, Papillary",C04.557.470.200.025.085,6.0
MONDO_0002527,keratoacanthoma,D007636,,,
