meshId,mesh_name,level,genes,diseases,associations,mean_score,max_score
D008545,Melanoma,4.0,9287,1,18574,0.048,0.8294
D002294,"Carcinoma, Squamous Cell",5.0,6932,1,13864,0.0264,0.5666
D006528,"Carcinoma, Hepatocellular",5.0,13701,1,13701,0.0533,0.7964
D010051,Ovarian Neoplasms,4.0,9796,2,13204,0.0461,0.8107
D021441,"Carcinoma, Pancreatic Ductal",5.0,5111,1,10222,0.0462,0.4685
D023981,"Sarcoma, Myeloid",5.0,5110,1,10220,0.0164,0.3786
D011471,Prostatic Neoplasms,5.0,9611,1,9611,0.0366,0.7995
D005910,Glioma,5.0,9559,1,9559,0.041,0.7249
D015470,"Leukemia, Myeloid, Acute",5.0,8594,1,8594,0.0492,0.8333
D064726,Triple Negative Breast Neoplasms,4.0,7502,1,7502,0.0297,0.5096
D012516,Osteosarcoma,5.0,7266,1,7266,0.0383,0.6883
D002277,Carcinoma,4.0,6975,1,6975,0.0141,0.5146
D000077195,Squamous Cell Carcinoma of Head and Neck,4.0,6786,1,6786,0.0478,0.7771
D000077277,Esophageal Squamous Cell Carcinoma,5.0,6669,1,6669,0.0538,0.5507
D001932,Brain Neoplasms,5.0,4437,2,5895,0.0189,0.5811
D013584,"Sarcoma, Synovial",5.0,2930,1,5860,0.0187,0.3936
D009101,Multiple Myeloma,4.0,5604,1,5604,0.0564,0.704
D018358,Neuroendocrine Tumors,5.0,2704,1,5408,0.0378,0.5681
D000230,Adenocarcinoma,5.0,5192,1,5192,0.0123,0.5622
D000077274,Nasopharyngeal Carcinoma,5.0,5139,1,5139,0.0276,0.6955
D008579,Meningioma,4.0,2369,1,4738,0.0336,0.6444
D008654,Mesothelioma,5.0,2282,2,4578,0.0172,0.5474
D012509,Sarcoma,4.0,4089,1,4089,0.0183,0.6197
D012175,Retinoblastoma,5.0,2022,1,4044,0.0296,0.8411
D007680,Kidney Neoplasms,5.0,3176,2,3942,0.0587,0.4688
D002280,"Carcinoma, Basal Cell",5.0,1889,1,3778,0.0591,0.7681
D017599,Neuroectodermal Tumors,4.0,1883,1,3766,0.0099,0.369
D000236,Adenoma,4.0,3744,1,3744,0.0117,0.495
D013964,Thyroid Neoplasms,4.0,1801,1,3602,0.0538,0.6002
D008228,"Lymphoma, Non-Hodgkin",4.0,2732,2,3078,0.0335,0.6136
D002285,"Carcinoma, Intraductal, Noninfiltrating",5.0,3006,1,3006,0.0151,0.4126
D002813,Chondrosarcoma,5.0,1366,1,2732,0.0211,0.7436
D002278,Carcinoma in Situ,5.0,2660,1,2660,0.0121,0.2788
D006689,Hodgkin Disease,4.0,2596,1,2596,0.0755,0.5824
D007951,"Leukemia, Myeloid",4.0,2402,1,2402,0.0174,0.686
D007890,Leiomyosarcoma,5.0,1153,1,2306,0.0474,0.5714
D013274,Stomach Neoplasms,5.0,2273,1,2273,0.0138,0.6319
D013945,Thymoma,4.0,2260,1,2260,0.015,0.2999
D013945,Thymoma,5.0,2260,1,2260,0.015,0.2999
D065310,Squamous Intraepithelial Lesions of the Cervix,4.0,2243,1,2243,0.0123,0.3779
D020522,"Lymphoma, Mantle-Cell",5.0,2193,1,2193,0.0519,0.6865
D046152,Gastrointestinal Stromal Tumors,5.0,2133,1,2133,0.0649,0.8906
D008080,Liposarcoma,5.0,1063,1,2126,0.0215,0.3905
D010190,Pancreatic Neoplasms,4.0,1040,1,2080,0.0491,0.6881
D016543,Central Nervous System Neoplasms,4.0,2033,1,2033,0.0383,0.5742
D005354,Fibrosarcoma,5.0,1911,1,1911,0.0063,0.1856
D009236,Myxosarcoma,5.0,943,1,1886,0.0088,0.0517
D016399,"Lymphoma, T-Cell",5.0,1785,1,1785,0.0118,0.5067
D018270,"Carcinoma, Ductal, Breast",4.0,1746,1,1746,0.1218,0.4055
D009396,Wilms Tumor,4.0,1377,2,1711,0.0171,0.6086
D018236,"Carcinoma, Embryonal",4.0,1592,1,1592,0.0057,0.0606
D005770,Gastrointestinal Neoplasms,4.0,1576,1,1576,0.0148,0.5736
D005729,Ganglioneuroma,5.0,1405,2,1461,0.0099,0.1883
D007889,Leiomyoma,5.0,1450,1,1450,0.0196,0.5296
D018248,"Adenoma, Liver Cell",5.0,721,1,1442,0.0279,0.7056
D007822,Laryngeal Neoplasms,5.0,1372,1,1372,0.0143,0.3772
D002291,"Carcinoma, Papillary",5.0,678,1,1356,0.0076,0.3871
D018197,Hepatoblastoma,4.0,1356,1,1356,0.045,0.584
D014062,Tongue Neoplasms,5.0,1113,2,1320,0.017,0.3146
D051677,"Histiocytoma, Malignant Fibrous",5.0,1291,1,1291,0.0998,0.3741
D018192,Lymphangioleiomyomatosis,5.0,584,2,1288,0.0172,0.8035
D014594,Uterine Neoplasms,5.0,1098,2,1286,0.0134,0.6206
D008175,Lung Neoplasms,5.0,1204,1,1204,0.019,0.398
D011087,Polycythemia Vera,5.0,1204,1,1204,0.0484,0.7986
D008224,"Lymphoma, Follicular",5.0,1172,1,1172,0.0321,0.6009
D018239,Seminoma,5.0,1169,1,1169,0.0099,0.2946
D006394,Hemangiosarcoma,4.0,1155,1,1155,0.0955,0.5304
